region;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
AUT;89603;85673;90854;91579;89081;94273;91440;95438;96014;98715;98819;97334;95323;92768;94324;96041;95140;92402;94617;92012;92442;92693;91339;93041;88466;89578;87071;84907;83263;83407;82952;83428;83162;82517;80684;81171;80790;79432;78339;78200;76780;74767;76131;77209;74292;75189;74295;74625;75083;77381;77199;76479;79436;79526;78252;83073;80669;83270;83975;83386;91599
BEL;113938;106985;114908;116718;110100;115045;116397;115212;121744;122398;118660;119899;117424;118254;116158;119425;118641;112672;115388;112010;113699;112326;111871;114534;110687;111608;111343;105426;104552;107336;104130;104149;104200;108170;104894;105933;105322;104190;104534;NA;104903;103447;105642;107628;101256;102963;101587;100658;104587;103854;105152;104292;109076;109334;104755;110541;108097;109666;110693;108783;126896
BGR;63665;62562;69640;66057;64479;66970;68366;74696;72176;80183;77095;82805;84174;81470;85239;89974;88348;94362;92445;94403;97950;95441;100293;102182;101419;107485;104039;107213;107385;106902;108608;110423;107998;109540;111827;114670;117056;121861;118190;111786;115087;112368;112617;111927;110110;113374;113438;113004;110523;108068;110165;108258;109281;104345;108952;110117;107580;109791;108526;108083;124735
HRV;41361;37796;42134;38597;43013;39936;37941;41381;43720;46844;44148;44878;47881;45680;44950;45640;45074;45156;48715;48426;50100;51420;50770;55147;54169;52067;51740;53080;52686;52569;52192;54832;51800;49482;50846;50536;50636;51964;52311;51953;50246;49552;50569;52575;49756;51790;50378;52367;52151;52414;52096;51019;51710;50386;50839;54205;51542;53477;52706;51794;57023
CYP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4958;NA;5432;5070;5355;4827;5168;5200;5225;5425;5127;5391;5194;5182;5103;5504;5665;5141;5424;5859;5471;5996;5768;6239;6422
CZE;93863;94973;104318;100129;101984;105108;105784;108967;115195;120653;123327;122375;119205;124437;126809;124314;125232;126214;127136;127949;135537;130407;130765;134474;132188;131641;132585;127244;125694;127747;129166;124290;120337;118185;117373;117913;112782;112744;109527;109768;109001;107755;108243;111288;107177;107938;104441;104636;104948;107421;106844;106848;108189;109160;105665;111173;107750;111443;112920;112362;129289
DNK;43681;43310;45334;45773;46811;47884;49344;47688;47290;47943;48233;48858;50445;50526;51637;50895;54001;50485;52864;54654;55939;56359;55368;57156;57109;58378;58100;58136;58984;59397;60926;59581;60821;62809;61099;63127;61043;59898;58442;59156;57986;58338;58610;57574;55806;54962;55477;55604;54591;54872;54368;52516;52325;52470;51340;52555;52824;53261;55232;53958;54645
EST;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18536;19531;19715;20126;21286;22212;20828;19020;18572;19445;18447;18403;18516;18355;18152;17685;17316;17316;17409;16675;16081;15790;15244;15450;15244;15484;15243;15392;15543;15751;15401;15811
FIN;39797;40616;42889;42010;42512;44473;43548;43790;45013;45966;44119;45876;43958;43410;44676;43828;44786;44065;43692;43738;44398;44404;43408;45388;45098;48198;47135;47949;49063;49110;50058;49294;49844;50988;48000;49280;49167;49108;49262;49345;49339;48550;49418;48996;47600;47928;48065;49077;49094;49883;50887;50585;51707;51472;52186;52492;53923;53722;54527;53949;55488
FRA;517437;496896;537714;554315;516478;540341;525497;539946;550492;570601;539679;551514;547487;558782;550550;560353;557114;536221;546816;541805;547107;554823;543104;559655;542490;552496;546926;527466;524600;529283;526201;524685;521530;532263;519965;540434;544692;539390;543525;547377;540717;541184;545353;562591;519589;538207;527036;531273;542734;548689;551369;545221;569986;569365;559435;593807;594005;606410;609747;613388;669064
DEU;876721;850300;878814;895070;870319;907882;911984;914417;976521;988092;975664;965623;965689;962988;956573;989649;966873;931155;955550;944474;952371;954436;943832;941032;917299;929649;925426;901291;900627;903441;921445;911245;885443;897270;884661;884588;882843;860389;852382;846330;838797;828541;841686;853946;818271;830227;821627;827155;844439;854544;858768;852328;869582;893825;868356;925200;910902;932272;954874;939520;985572
GRC;60563;63955;66554;66813;69429;67269;67912;71975;73309;71825;74009;73819;76859;77648;76303;80077;81818;83750;81615;82338;87282;86261;86345;90586;88397;92886;91783;95656;92407;92720;94152;95498;98231;97419;97807;100158;100740;99738;102668;103304;105219;102559;103915;105529;104942;105091;105476;109895;107979;108316;109084;111099;116668;111794;113740;121183;118788;124501;120296;124965;131047
HUN;101525;96410;108273;99871;100830;108119;101943;109530;115354;116659;120197;123009;118991;123366;125816;131102;132240;132031;140121;136829;145355;144757;144318;148643;146709;147614;147089;142601;140042;144695;145660;144813;148781;150244;146889;145431;143130;139434;140870;143210;135601;132183;132833;135823;132492;135732;131603;132938;130027;130414;130456;128795;129440;126677;126294;131575;127098;131877;131247;129892;141326
IRL;32660;34763;33838;33795;32630;33022;35113;31400;33157;33734;33686;31890;34381;34192;34921;33173;34043;33632;33794;33771;33472;32929;32457;32976;32076;33210;33630;31413;31625;32111;31370;31305;30930;31924;30876;31645;31723;31581;31563;32608;31391;30212;29381;28823;28151;27441;28488;28117;28274;28380;27961;28456;29186;29504;29252;30127;30667;30317;31140;30959;32387
ITA;480932;468455;509174;516377;490050;518008;496281;510122;532571;539129;521096;522654;523828;547487;532043;554346;550565;546694;540671;538352;554510;545291;534935;564330;534676;547436;537453;524999;539426;531853;543708;553833;546690;552365;556325;556690;554576;561207;574231;567741;560121;556892;560390;586468;545051;568328;558614;572881;585126;585182;581307;593404;612883;600744;598364;647571;615261;649061;633133;634417;740317
LVA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34320;33533;34200;32844;32205;32991;32498;32437;32024;32777;33098;33042;31006;29897;30040;28540;29025;28691;28466;28478;28580;28757;28820;27719;28854
LTU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45306;42896;41143;40757;40003;38919;40399;41072;40990;41340;43799;44813;45624;43832;42032;42120;41037;40938;41511;40252;41776;41106;40142;39574;38281;43547
LUX;3716;3616;4037;3929;3857;4057;4050;4166;4138;4202;4168;4416;4121;4192;4291;4376;4507;4083;4187;3985;4113;4105;4133;4129;4072;4027;3970;4012;3840;3984;3773;3744;4021;3915;3800;3797;3895;3937;3901;3793;3754;3719;3744;4053;3578;3621;3766;3866;3595;3655;3760;3819;3876;3822;3841;3983;3967;4263;4318;4283;4609
MLT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2759;2865;3018;3079;2941;2904;3006;3146;3006;3132;3216;3111;3243;3221;3010;3267;3418;3236;3270;3442;3342;3571;3688;3688;4084
NLD;87486;87923;93558;95734;93437;98026;100516;99792;104989;107615;109619;110243;113576;110682;109250;113737;114454;110093;114415;112565;114279;115515;117264;117761;119812;122704;125307;122199;124163;128905;128824;129958;129887;137795;133471;135675;137561;135783;137482;140487;140527;140377;142355;141936;136553;136402;135372;133022;135136;134235;136058;135741;140813;141245;139223;147134;148997;150214;153363;151885;168678
POL;224167;227759;239199;231186;236985;232421;232945;247705;244103;264516;266799;283702;265250;279491;277085;296896;304057;312956;328080;325984;350203;328923;337874;352255;367562;383987;378781;380663;373018;383074;390343;405716;394729;392259;386398;386084;385496;380201;375354;381415;368028;363220;359486;365230;363522;368285;369686;377226;379399;384940;378478;375501;384788;387312;376467;394921;388009;402852;414200;409709;477355
PRT;95007;99590;96864;98011;96878;95187;100088;95816;94661;101088;93093;98688;90315;95435;96928;97936;102027;96111;96194;92732;94971;95892;92551;96367;97227;97339;95828;95423;98236;96220;103115;103882;100638;105950;99232;103475;106881;104778;106198;107871;105364;105092;106258;108795;102012;107464;101990;103512;104280;104434;105953;102848;107612;106554;104843;108539;110573;109758;113051;111793;123358
ROU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;271672;286158;279315;269166;265194;255820;259603;269666;266575;258890;262101;258094;251965;253202;257213;259723;251439;255539;247475;254965;262442;258404;262321;263911;259889;298258
SVK;31609;31403;34398;32978;32875;35910;36357;35458;38076;40623;42240;42856;41410;43759;44934;45248;45420;47181;47778;47837;50579;49632;50393;52433;51739;52464;53133;51980;52475;53902;54619;54618;53423;52707;51386;52686;51236;52124;53156;52402;52724;51980;51532;52230;51852;53475;53301;53856;53164;52913;53445;51903;52437;52089;51346;53826;52351;53914;54293;53234;59089
SVN;15145;14013;15866;15102;16729;15987;15248;16353;17446;18565;17353;17425;18157;17614;17206;18180;18157;17633;18357;18148;18820;18733;19646;20703;20214;19854;19499;19837;19126;18669;18555;19324;19333;20012;19359;18968;18620;18928;19039;18885;18588;18508;18701;19451;18523;18825;18180;18584;18308;18750;18609;18699;19257;19334;18886;19834;19689;20509;20485;20588;24016
ESP;261979;256211;271373;275499;267045;267407;275170;279469;282628;302352;285133;302869;280163;296524;295275;298192;299007;294324;296781;291213;289344;293386;286655;302569;299409;312532;310413;310073;319437;324796;333142;337691;331515;339661;338242;346227;351449;349521;360511;371102;359148;357580;366046;382455;369564;385056;369391;383249;384198;383209;380234;386017;401122;388600;393734;420408;408231;422037;425153;416102;492447
SWE;75093;73555;76791;76460;76661;78194;78440;79783;82613;83256;80045;82737;84086;85658;86209;88054;90650;88176;89704;90978;91716;92034;90671;90791;90483;94032;93295;93307;96743;92110;95161;95202;94710;97008;91844;93955;94133;93326;93271;94726;93461;93752;95009;92961;90532;91710;91177;91729;91449;90080;90487;89938;91938;90402;88976;90907;90982;91972;92185;88766;98124
GBR;604592;635507;632951;654300;610508;627567;644193;620385;652132;661509;652817;644042;679211;664722;666393;661803;680096;656042;668747;672641;659862;658524;662801;659101;644918;670656;660735;644342;649178;657733;641799;646181;625137;657852;625897;645493;638896;629554;627626;632062;608366;602268;606216;611184;583082;582963;572224;574687;579697;559617;561666;552232;569024;574945;568840;601272;595655;605748;614313;604707;689629
